ffffffff 100b 0000
001bdf07 0140 0df4
001be669 0339 0000
001bc849 0001 4000
001bc85f 0001 0000
001b6145 019a 4ccd
001b6151 019b 0071
001b615d 019c 1400
001b6169 0199 0087
001b6175 01a1 4ccd
001b6181 01a2 0071
001b618d 01a3 1400
001b61b9 01a0 0087
001b61f7 0603 bae3
001b6203 0602 0058
001b620f 0607 bae3
001b621b 0606 0058
001c0b31 0601 0049
001c495d 000d 0007
001c4969 000e 03cd
001c484d 000d 0007
001c4859 000e 03cd
001c4919 000f 0489
001c484d 000d 0007
001c4859 000e 03ce
001c4919 000f 0489
001c0b47 0371 03dd
001c0b55 0372 03d9
001c0b63 0373 03d5
001c0b71 0374 0424
001c0b7f 0375 0429
001c0b8d 0376 042d
001b626d 031c 0080
001b6279 031d 0080
001b6285 031e 0080
001c0c35 031f 0080
001b63f3 00ec 0edb
001b63ff 00ed 01cb
001b6409 00ee 0003
001b6415 00ef 0d1d
001b6421 00f0 0192
001b642b 00f1 0003
001b6437 00f2 0c33
001b6441 00f3 00f3
001b644b 00f4 0003
001c0d5f 00f5 0076
001b62a7 00b0 0056
001b62b3 00b1 02fb
001b62bd 00b2 0003
001b62c9 00b3 0f3d
001b62d5 00b4 0169
001b62df 00b5 0003
001b62eb 00b6 0e23
001b62f5 00b7 0068
001b62ff 00b8 0002
001c0d95 00b9 00a6
001c484d 000d 0044
001c4859 000e 0008
001c4919 000f 00ff
001c4919 000f 00ff
001c4919 000f 0006
001c4919 000f 000c
001c4919 000f 0012
001c4919 000f 0019
001c484d 000d 0045
001c4859 000e 0008
001c4919 000f 0001
001c4919 000f 0001
001c4919 000f 0002
001c4919 000f 0003
001c4919 000f 0004
001c4919 000f 0005
001c484d 000d 000b
001c4859 000e 0008
001c4919 000f 000b
001c4919 000f 000c
001c4919 000f 000e
001c4919 000f 0020
001c4919 000f 0024
001c4919 000f 0028
001c484d 000d 000b
001c4859 000e 0048
001c4919 000f 000b
001c4919 000f 000c
001c4919 000f 000e
001c4919 000f 0020
001c4919 000f 0024
001c4919 000f 0028
001c484d 000d 0044
001c4859 000e 0010
001c4919 000f 00f8
001c4919 000f 00f8
001c4919 000f 00fc
001c4919 000f 00ff
001c4919 000f 0002
001c4919 000f 0002
001c4919 000f 0002
001c484d 000d 0045
001c4859 000e 0010
001c4919 000f 0001
001c4919 000f 0001
001c4919 000f 0002
001c4919 000f 0003
001c4919 000f 0004
001c4919 000f 0004
001c4919 000f 0004
001c484d 000d 000b
001c4859 000e 0010
001c4919 000f 0000
001c4919 000f 0000
001c4919 000f 0000
001c4919 000f 0003
001c4919 000f 0003
001c4919 000f 0003
001c4919 000f 0003
001c484d 000d 000b
001c4859 000e 0050
001c4919 000f 0000
001c4919 000f 0000
001c4919 000f 0000
00000000 0000 0000
00000000 0000 0000
00000000 0000 0000
00000000 0000 0000
00000000 0000 0000
00000000 0000 0000
00000000 0000 0000
00000000 0000 0000
001bc5e9 016c 0000
001b905b 06dc 014a
001b9069 06dd 0624
001c484d 000d 0007
001c4859 000e 00f9
